cache_key,시설물 구분,시설물명,소재지 주소,행정동,lat,lon,geocode_status
장애인용 승강기␟방배CJ나인빌리지␟서울 서초구 방배동 889-5␟방배1동,장애인용 승강기,방배CJ나인빌리지,서울 서초구 방배동 889-5,방배1동,37.48637195,126.99820695,ok
장애인용 승강기␟방배e편한세상1차아파트␟서울 서초구 방배동 884-21␟방배1동,장애인용 승강기,방배e편한세상1차아파트,서울 서초구 방배동 884-21,방배1동,37.48773185,126.99889303,ok
장애인용 승강기␟방배그랑자이(서울)␟서울 서초구 방배동 3283␟방배3동,장애인용 승강기,방배그랑자이(서울),서울 서초구 방배동 3283,방배3동,37.47647537,126.99978497,ok
장애인용 승강기␟방배느티나무 쉼터␟서울 서초구 방배동 478-13␟방배3동,장애인용 승강기,방배느티나무 쉼터,서울 서초구 방배동 478-13,방배3동,37.47652291,126.98743753,ok
장애인용 승강기␟방배동895-6␟서울 서초구 방배동 895-6␟방배1동,장애인용 승강기,방배동895-6,서울 서초구 방배동 895-6,방배1동,37.48776566,126.99575158,ok
장애인용 승강기␟방배동926-17␟서울 서초구 방배동 926-17␟방배1동,장애인용 승강기,방배동926-17,서울 서초구 방배동 926-17,방배1동,37.48431320,126.99430204,ok
장애인용 승강기␟방배동나노빌딩␟서울 서초구 방배동 489-4␟방배3동,장애인용 승강기,방배동나노빌딩,서울 서초구 방배동 489-4,방배3동,37.47391766,126.99494484,ok
장애인용 승강기␟방배래미안타워␟서울 서초구 방배동 485-3␟방배3동,장애인용 승강기,방배래미안타워,서울 서초구 방배동 485-3,방배3동,37.47504770,126.99046915,ok
장애인용 승강기␟방배베라루체␟서울 서초구 방배동 901-8␟방배1동,장애인용 승강기,방배베라루체,서울 서초구 방배동 901-8,방배1동,37.48617772,126.99563487,ok
장애인용 승강기␟방배브라운가아파트␟서울 서초구 방배동 930-1␟방배1동,장애인용 승강기,방배브라운가아파트,서울 서초구 방배동 930-1,방배1동,37.48352297,126.99194040,ok
장애인용 승강기␟방배빌리지1␟서울 서초구 방배동 889-5␟방배1동,장애인용 승강기,방배빌리지1,서울 서초구 방배동 889-5,방배1동,37.48637195,126.99820695,ok
장애인용 승강기␟방배빌리지2␟서울 서초구 방배동 889-5␟방배1동,장애인용 승강기,방배빌리지2,서울 서초구 방배동 889-5,방배1동,37.48637195,126.99820695,ok
장애인용 승강기␟방배빌리지4차␟서울 서초구 방배동 593-73␟방배3동,장애인용 승강기,방배빌리지4차,서울 서초구 방배동 593-73,방배3동,37.47506492,126.99333298,ok
장애인용 승강기␟방배빌리지5차␟서울 서초구 방배동 593-52␟방배3동,장애인용 승강기,방배빌리지5차,서울 서초구 방배동 593-52,방배3동,37.47556756,126.99440321,ok
장애인용 승강기␟방배서리풀e편한세상아파트␟서울 서초구 방배동 906-13␟방배1동,장애인용 승강기,방배서리풀e편한세상아파트,서울 서초구 방배동 906-13,방배1동,37.48390779,126.99832324,ok
장애인용 승강기␟방배서리풀그랑블␟서울 서초구 방배동 3279␟방배1동,장애인용 승강기,방배서리풀그랑블,서울 서초구 방배동 3279,방배1동,37.48608091,126.99749870,ok
장애인용 승강기␟방배서리풀힐스␟서울 서초구 방배동 915-16␟방배1동,장애인용 승강기,방배서리풀힐스,서울 서초구 방배동 915-16,방배1동,37.48105778,126.99460393,ok
장애인용 승강기␟방배센트럴빌딩␟서울 서초구 방배동 909-6␟방배1동,장애인용 승강기,방배센트럴빌딩,서울 서초구 방배동 909-6,방배1동,37.48185003,126.99698746,ok
장애인용 승강기␟방배숲도서관␟서울 서초구 방배동 126-1␟방배1동,장애인용 승강기,방배숲도서관,서울 서초구 방배동 126-1,방배1동,37.48896263,127.00005032,ok
장애인용 승강기␟방배신동아럭스빌␟서울 서초구 방배동 1026-14␟방배3동,장애인용 승강기,방배신동아럭스빌,서울 서초구 방배동 1026-14,방배3동,37.47531261,127.00112781,ok
장애인용 승강기␟방배아크로타워␟서울 서초구 방배동 923-6␟방배1동,장애인용 승강기,방배아크로타워,서울 서초구 방배동 923-6,방배1동,37.48314869,126.99528296,ok
장애인용 승강기␟방배아크로타워아파트␟서울 서초구 방배동 923-6␟방배1동,장애인용 승강기,방배아크로타워아파트,서울 서초구 방배동 923-6,방배1동,37.48314869,126.99528296,ok
장애인용 승강기␟방배아트e-편한세상␟서울 서초구 방배동 484-2␟방배3동,장애인용 승강기,방배아트e-편한세상,서울 서초구 방배동 484-2,방배3동,37.47551342,126.99039255,ok
장애인용 승강기␟방배어울림아파트␟서울 서초구 방배동 998␟방배3동,장애인용 승강기,방배어울림아파트,서울 서초구 방배동 998,방배3동,37.47810659,127.00364902,ok
장애인용 승강기␟방배자이아파트␟서울 서초구 방배동 888-53␟방배1동,장애인용 승강기,방배자이아파트,서울 서초구 방배동 888-53,방배1동,37.48643071,126.99905180,ok
장애인용 승강기␟방배한화아파트␟서울 서초구 방배동 169-24␟방배1동,장애인용 승강기,방배한화아파트,서울 서초구 방배동 169-24,방배1동,37.48489331,126.99872619,ok
장애인용 승강기␟방배현대멤피스2차아파트␟서울 서초구 방배동 982-1␟방배3동,장애인용 승강기,방배현대멤피스2차아파트,서울 서초구 방배동 982-1,방배3동,37.48015823,126.99796877,ok
장애인용 승강기␟방배홈스텔␟서울 서초구 방배동 1031-2␟방배3동,장애인용 승강기,방배홈스텔,서울 서초구 방배동 1031-2,방배3동,37.47834118,126.99932471,ok
장애인용 승강기␟백석대교육동␟서울 서초구 방배동 981-10␟방배3동,장애인용 승강기,백석대교육동,서울 서초구 방배동 981-10,방배3동,37.48076314,126.99666109,ok
장애인용 승강기␟백석대학교 서울캠퍼스 조이하우스␟서울 서초구 방배동 1023-1␟방배3동,장애인용 승강기,백석대학교 서울캠퍼스 조이하우스,서울 서초구 방배동 1023-1,방배3동,37.47870735,126.99980690,ok
장애인용 승강기␟백석예술대학교사랑동␟서울 서초구 방배동 981-23␟방배3동,장애인용 승강기,백석예술대학교사랑동,서울 서초구 방배동 981-23,방배3동,37.48049802,126.99543090,ok
장애인용 승강기␟백석예술대학교예술동␟서울 서초구 방배동 981-7␟방배3동,장애인용 승강기,백석예술대학교예술동,서울 서초구 방배동 981-7,방배3동,37.48028902,126.99646518,ok
장애인용 승강기␟불교텔레비젼(주)␟서울 서초구 방배동 1027-4␟방배3동,장애인용 승강기,불교텔레비젼(주),서울 서초구 방배동 1027-4,방배3동,37.47461154,126.99993850,ok
