시설물 구분,시설물명,소재지 주소,행정동,데이터기준일자
장애인용 승강기,강남지웰타워,서울 서초구 서초동 1327-13,서초2동,2025-09-18
장애인용 승강기,강남지웰타워2,서울 서초구 서초동 1306-4,서초4동,2025-09-18
장애인용 승강기,강남태영데시앙루브,서울 서초구 서초동 1303-35,서초4동,2025-09-18
장애인용 승강기,강남터미널지하상가,서울 서초구 반포동 19-4,반포4동,2025-09-18
장애인용 승강기,강남한화오벨리스크,서울 서초구 서초동 1327-27,서초2동,2025-09-18
장애인용 승강기,강남효성해링턴타워,서울 서초구 서초동 1337-6,서초2동,2025-09-18
장애인용 승강기,강임하이빌오피스텔,서울 서초구 방배동 476-1,방배3동,2025-09-18
장애인용 승강기,개념원리빌딩,서울 서초구 서초동 1537-1,서초3동,2025-09-18
장애인용 승강기,갤럭시타워,서울 서초구 서초동 1330-10,서초2동,2025-09-18
장애인용 승강기,건영빌딩,서울 서초구 양재동 15-7,양재1동,2025-09-18
장애인용 승강기,경복궁서초점(주)엔타스시스템,서울 서초구 반포동 44-5,반포4동,2025-09-18
장애인용 승강기,경원중학교,서울 서초구 잠원동 66-1,반포3동,2025-09-18
장애인용 승강기,고도일병원,서울 서초구 반포동 736-9,반포1동,2025-09-18
장애인용 승강기,공간11차,서울 서초구 양재동 4-5,양재1동,2025-09-18
장애인용 승강기,공간4차,서울 서초구 양재동 19-8,양재1동,2025-09-18
장애인용 승강기,공간5차,서울 서초구 양재동 19-18,양재1동,2025-09-18
장애인용 승강기,광영빌딩,서울 서초구 양재동 16-6,양재1동,2025-09-18
장애인용 승강기,광정아파트,서울 서초구 양재동 7-17,양재1동,2025-09-18
장애인용 승강기,교대벤처타워,서울 서초구 서초동 1627-1,서초1동,2025-09-18
장애인용 승강기,구립반포1동어린이집,서울 서초구 반포동 20-48,반포1동,2025-09-18
장애인용 승강기,구립서초1동하은어린이집,서울 서초구 서초동 1668-15,서초1동,2025-09-18
장애인용 승강기,구립서초노인요양센터,서울 서초구 서초동 380-4,서초1동,2025-09-18
장애인용 승강기,구립서초유스센터,서울 서초구 서초동 1535-6,서초3동,2025-09-18
장애인용 승강기,구보빌딩,서울 서초구 양재동 84-5,양재1동,2025-09-18
장애인용 승강기,구산타워,서울 서초구 방배동 3250,방배2동,2025-09-18
장애인용 승강기,국립국악원,서울 서초구 서초동 산 150-124,서초3동,2025-09-18
장애인용 승강기,국립외교원,서울 서초구 서초동 1376-2,서초2동,2025-09-18
장애인용 승강기,국립중앙도서관,서울 서초구 반포동 산 60-1,반포4동,2025-09-18
장애인용 승강기,국립중앙도서관(디지털도서관),서울 서초구 반포동 산 57-1,반포4동,2025-09-18
장애인용 승강기,국제전자빌딩,서울 서초구 서초동 1445-3,서초1동,2025-09-18
장애인용 승강기,국제전자센터,서울 서초구 서초동 1445-3,서초1동,2025-09-18
장애인용 승강기,국제제자훈련원,서울 서초구 서초동 1443-26,서초1동,2025-09-18
장애인용 승강기,궁전빌딩,서울 서초구 방배동 828-9,방배4동,2025-09-18
장애인용 승강기,그라티아빌딩,서울 서초구 반포동 746-1,반포1동,2025-09-18
장애인용 승강기,그랑시엘3차,서울 서초구 방배동 1-19,방배본동,2025-09-18
장애인용 승강기,그린빌오피스텔,서울 서초구 서초동 1601-2,서초3동,2025-09-18
장애인용 승강기,그린타운 6차,서울 서초구 반포동 743-6,반포1동,2025-09-18
장애인용 승강기,근정빌딩,서울 서초구 서초동 1575-12,서초3동,2025-09-18
장애인용 승강기,금석빌딩,서울 서초구 서초동 1552-4,서초3동,2025-09-18
장애인용 승강기,금정노블아파트,서울 서초구 반포동 81-8,반포4동,2025-09-18
장애인용 승강기,기쁜소식강남교회(IYF),서울 서초구 양재동 183,양재1동,2025-09-18
장애인용 승강기,기쁨병원,서울 서초구 서초동 1426-1,서초1동,2025-09-18
장애인용 승강기,길명오퍼스,서울 서초구 양재동 9-38,양재1동,2025-09-18
장애인용 승강기,김희경장학재단,서울 서초구 양재동 206-9,양재2동,2025-09-18
장애인용 승강기,깊생빌딩,서울 서초구 반포동 50-7,반포4동,2025-09-18
장애인용 승강기,까리따스방배종합사회복지관,서울 서초구 방배동 3274,방배2동,2025-09-18
장애인용 승강기,까사노블,서울 서초구 방배동 593-10,방배3동,2025-09-18
장애인용 승강기,끄레메빌,서울 서초구 서초동 1630-4,서초1동,2025-09-18
장애인용 승강기,나루나,서울 서초구 잠원동 9-8,잠원동,2025-09-18
장애인용 승강기,나비호텔,서울 서초구 서초동 1676-2,서초1동,2025-09-18
장애인용 승강기,나스빌2,서울 서초구 방배동 804-3,방배4동,2025-09-18
장애인용 승강기,나스빌3차,서울 서초구 방배동 806-13,방배4동,2025-09-18
장애인용 승강기,나우동인건축,서울 서초구 양재동 210-7,양재2동,2025-09-18
장애인용 승강기,나우리빌딩,서울 서초구 서초동 1696-7,서초4동,2025-09-18
장애인용 승강기,남부터미널오피스텔(서초해링턴타워),서울 서초구 서초동 1445-1,서초1동,2025-09-18
장애인용 승강기,남서울교회 비전센터 ,서울 서초구 반포동 1-4,반포2동,2025-09-18
장애인용 승강기,남서울농업협동조합,서울 서초구 양재동 5-10,양재1동,2025-09-18
장애인용 승강기,남서울농협우면동지점,서울 서초구 우면동 760,양재1동,2025-09-18
장애인용 승강기,남서울농협하나로마트,서울 서초구 양재동 5-10,양재1동,2025-09-18
장애인용 승강기,남서울빌딩,서울 서초구 서초동 1304-3,서초4동,2025-09-18
장애인용 승강기,남승빌딩,서울 서초구 서초동 1589-2,서초3동,2025-09-18
장애인용 승강기,내곡SH플라자,서울 서초구 내곡동 391,내곡동,2025-09-18
장애인용 승강기,내곡느티나무쉼터,서울 서초구 염곡동 180-2,내곡동,2025-09-18
장애인용 승강기,내곡동복지센터,서울 서초구 염곡동 180-2,내곡동,2025-09-18
장애인용 승강기,내곡드림시티1차,서울 서초구 신원동 205-1,내곡동,2025-09-18
장애인용 승강기,내곡드림시티2차,서울 서초구 신원동 271-23,내곡동,2025-09-18
장애인용 승강기,내곡열린문화센터,서울 서초구 신원동 340-3,내곡동,2025-09-18
장애인용 승강기,내곡중학교,서울 서초구 신원동 294,내곡동,2025-09-18
장애인용 승강기,내곡프라자,서울 서초구 내곡동 391,내곡동,2025-09-18
장애인용 승강기,네스코뮤즈빌(A동),서울 서초구 방배동 971-8,방배2동,2025-09-18
장애인용 승강기,네스코뮤즈빌(B동),서울 서초구 방배동 971-7,방배2동,2025-09-18
장애인용 승강기,네스코아파트,서울 서초구 방배동 956-8,방배2동,2025-09-18
장애인용 승강기,네이처프라자,서울 서초구 우면동 725,양재1동,2025-09-18
장애인용 승강기,네이처힐3단지,서울 서초구 우면동 717,양재1동,2025-09-18
장애인용 승강기,네이처힐가든,서울 서초구 우면동 701,양재1동,2025-09-18
장애인용 승강기,노바월드,서울 서초구 반포동 703-3,반포1동,2025-09-18
장애인용 승강기,노블하우스3차,서울 서초구 방배동 803-8,방배4동,2025-09-18
장애인용 승강기,노블하임2,서울 서초구 양재동 278-1,양재2동,2025-09-18
장애인용 승강기,노블힐스아파트,서울 서초구 방배동 593-45,방배3동,2025-09-18
장애인용 승강기,노빌레빌,서울 서초구 서초동 1557-8,서초3동,2025-09-18
장애인용 승강기,농협은행양재센터,서울 서초구 양재동 214,양재2동,2025-09-18
장애인용 승강기,누드죤,서울 서초구 서초동 1317-11,서초4동,2025-09-18
장애인용 승강기,누리빌아파트,서울 서초구 양재동 385-11,양재2동,2025-09-18
장애인용 승강기,뉴스카이빌딩,서울 서초구 양재동 124,양재1동,2025-09-18
장애인용 승강기,늘푸른교회,서울 서초구 잠원동 61-3,잠원동,2025-09-18
장애인용 승강기,다니엘복지원,서울 서초구 내곡동 1-1328,내곡동,2025-09-18
장애인용 승강기,다니엘학교,서울 서초구 내곡동 1-1328,내곡동,2025-09-18
장애인용 승강기,다솔멤버스,서울 서초구 서초동 1507-61,서초3동,2025-09-18
장애인용 승강기,다애교회,서울 서초구 신원동 561,내곡동,2025-09-18
장애인용 승강기,다우월드아파트,서울 서초구 서초동 1357-44,서초2동,2025-09-18
장애인용 승강기,다움샤인힐7차,서울 서초구 방배동 800-5,방배4동,2025-09-18
장애인용 승강기,다원아이빌딩,서울 서초구 서초동 1606-8,서초1동,2025-09-18
장애인용 승강기,다원하이빌,서울 서초구 방배동 322-2,방배1동,2025-09-18
장애인용 승강기,다이너스티힐,서울 서초구 방배동 1-11,방배본동,2025-09-18
장애인용 승강기,단성빌딩,서울 서초구 양재동 2-11,양재1동,2025-09-18
장애인용 승강기,대건 딜라이트,서울 서초구 방배동 593-19,방배3동,2025-09-18
장애인용 승강기,대검찰청,서울 서초구 서초동 1730-1,서초3동,2025-09-18
장애인용 승강기,대경벨로체아파트,서울 서초구 서초동 1484-7,서초3동,2025-09-18
장애인용 승강기,대관빌딩,서울 서초구 양재동 15-1,양재1동,2025-09-18
장애인용 승강기,대덕빌딩,서울 서초구 서초동 1702-7,서초3동,2025-09-18
장애인용 승강기,대륭서초타워,서울 서초구 서초동 1337-20,서초2동,2025-09-18
장애인용 승강기,대림서초3차아파트(e편한세상),서울 서초구 서초동 1467-37,서초3동,2025-09-18
장애인용 승강기,대림아르빌,서울 서초구 양재동 371-8,양재2동,2025-09-18
장애인용 승강기,대림아크로리버파크,서울 서초구 반포동 2-12,반포2동,2025-09-18
장애인용 승강기,대백세인트빌,서울 서초구 반포동 87-5,반포4동,2025-09-18
장애인용 승강기,대법원,서울 서초구 서초동 967,서초3동,2025-09-18
장애인용 승강기,대상파크빌,서울 서초구 서초동 1484-8,서초3동,2025-09-18
장애인용 승강기,대우디오빌프라임,서울 서초구 서초동 1337-22,서초2동,2025-09-18
장애인용 승강기,대한건축사협회,서울 서초구 서초동 1603-55,서초1동,2025-09-18
장애인용 승강기,대한미용사회,서울 서초구 방배동 925-5,방배1동,2025-09-18
장애인용 승강기,대한약사회관,서울 서초구 서초동 1489-3,서초3동,2025-09-18
장애인용 승강기,대한예수교 장로회 방주교회,서울 서초구 방배동 425-2,방배2동,2025-09-18
장애인용 승강기,대한예수교장로회총회,서울 서초구 방배동 490-3,방배3동,2025-09-18
장애인용 승강기,대호IR빌딩,서울 서초구 서초동 1540-1,서초3동,2025-09-18
장애인용 승강기,대호프레조빌,서울 서초구 서초동 1604-19,서초1동,2025-09-18
장애인용 승강기,대화제약,서울 서초구 방배동 479-12,방배3동,2025-09-18
장애인용 승강기,더 헤렌,서울 서초구 방배동 812-1,방배4동,2025-09-18
장애인용 승강기,더그린서초,서울 서초구 서초동 1481-4,서초3동,2025-09-18
장애인용 승강기,더나빌딩,서울 서초구 서초동 1360-38,서초2동,2025-09-18
장애인용 승강기,더마프로연구소,서울 서초구 방배동 868-21,방배4동,2025-09-18
장애인용 승강기,더미켈란아파트,서울 서초구 서초동 1494-4,서초3동,2025-09-18
장애인용 승강기,더붐2,서울 서초구 양재동 266-6,양재2동,2025-09-18
장애인용 승강기,더샵오데움,서울 서초구 서초동 1483-18,서초3동,2025-09-18
장애인용 승강기,더샵오데움105동,서울 서초구 서초동 1476-18,서초3동,2025-09-18
장애인용 승강기,더아크리움,서울 서초구 서초동 1497-20,서초3동,2025-09-18
장애인용 승강기,더존퍼스트빌,서울 서초구 방배동 977-14,방배2동,2025-09-18
장애인용 승강기,더지니고2차,서울 서초구 방배동 437-22,방배2동,2025-09-18
장애인용 승강기,더클래식(서초동),서울 서초구 서초동 1475-10,서초3동,2025-09-18
장애인용 승강기,더파크908,서울 서초구 방배동 908-28,방배1동,2025-09-18
장애인용 승강기,더핑거그룹 주식회사,서울 서초구 원지동 416-2,양재2동,2025-09-18
장애인용 승강기,더하우스비,서울 서초구 방배동 913-30,방배1동,2025-09-18
장애인용 승강기,더화이트베일,서울 서초구 서초동 1445-14,서초1동,2025-09-18
장애인용 승강기,덕동반포빌라트,서울 서초구 반포동 79-1,반포4동,2025-09-18
장애인용 승강기,덜위치칼리지서울,서울 서초구 반포동 5-1,반포2동,2025-09-18
장애인용 승강기,데뜨아르,서울 서초구 잠원동 67-1,반포3동,2025-09-18
장애인용 승강기,데코아트빌10차,서울 서초구 서초동 1487-60,서초3동,2025-09-18
장애인용 승강기,데코아트빌7차,서울 서초구 방배동 916-27,방배1동,2025-09-18
장애인용 승강기,데코아트빌8차,서울 서초구 방배동 828-5,방배4동,2025-09-18
장애인용 승강기,데코아트빌9차,서울 서초구 방배동 822-22,방배4동,2025-09-18
장애인용 승강기,도곡이스타빌,서울 서초구 양재동 3-14,양재1동,2025-09-18
장애인용 승강기,도구머리 어린이집,서울 서초구 방배동 산 75-3,방배2동,2025-09-18
장애인용 승강기,도루코기술연구소,서울 서초구 서초동 1354-2,서초2동,2025-09-18
장애인용 승강기,도충빌딩,서울 서초구 반포동 723-1,반포1동,2025-09-18
장애인용 승강기,돈일빌딩,서울 서초구 서초동 1444-21,서초1동,2025-09-18
장애인용 승강기,동건그랑드힐,서울 서초구 반포동 83-11,반포4동,2025-09-18
장애인용 승강기,동광로49길74빌딩,서울 서초구 서초동 1498-5,서초3동,2025-09-18
장애인용 승강기,동부에이스,서울 서초구 방배동 465-15,방배2동,2025-09-18
장애인용 승강기,동산마을공영주차장,서울 서초구 양재동 370-5,양재2동,2025-09-18
장애인용 승강기,동성라벨뷰,서울 서초구 반포동 98-7,반포4동,2025-09-18
장애인용 승강기,동심빌딩,서울 서초구 서초동 1362-16,서초2동,2025-09-18
장애인용 승강기,동아아파트,서울 서초구 잠원동 157,반포3동,2025-09-18
장애인용 승강기,동아타운,서울 서초구 방배동 920-25,방배1동,2025-09-18
장애인용 승강기,동오빌딩,서울 서초구 서초동 1337-4,서초2동,2025-09-18
장애인용 승강기,동원그린아파트,서울 서초구 양재동 362-6,양재2동,2025-09-18
장애인용 승강기,동익성봉빌딩,서울 서초구 서초동 1692-1,서초4동,2025-09-18
장애인용 승강기,동주빌딩,서울 서초구 양재동 287-4,양재2동,2025-09-18
장애인용 승강기,동지빌딩,서울 서초구 방배동 919-2,방배1동,2025-09-18
장애인용 승강기,동칠보빌딩,서울 서초구 잠원동 25-22,잠원동,2025-09-18
장애인용 승강기,두성빌딩,서울 서초구 양재동 250-2,양재2동,2025-09-18
장애인용 승강기,드림원빌,서울 서초구 방배동 824-1,방배4동,2025-09-18
장애인용 승강기,디아레나,서울 서초구 서초동 1588-5,서초3동,2025-09-18
장애인용 승강기,디엠타워 2관,서울 서초구 방배동 924-21,방배1동,2025-09-18
장애인용 승강기,디엠타워 3관,서울 서초구 방배동 924-11,방배1동,2025-09-18
장애인용 승강기,디오빌강남관리단,서울 서초구 서초동 1309-1,서초4동,2025-09-18
장애인용 승강기,디오슈페리움I,서울 서초구 방배동 3001-2,방배4동,2025-09-18
장애인용 승강기,디와이즈빌딩,서울 서초구 방배동 901-10,방배1동,2025-09-18
장애인용 승강기,띠에라하우스,서울 서초구 잠원동 49-37,잠원동,2025-09-18
장애인용 승강기,라디안루키오피스텔,서울 서초구 서초동 1600-7,서초3동,2025-09-18
장애인용 승강기,라온54,서울 서초구 방배동 2736-8,방배2동,2025-09-18
장애인용 승강기,라현하우스,서울 서초구 염곡동 224-10,내곡동,2025-09-18
장애인용 승강기,래미안 신반포역 상가,서울 서초구 반포동 18-4,반포2동,2025-09-18
장애인용 승강기,래미안리더스원,서울 서초구 서초동 1755,서초2동,2025-09-18
장애인용 승강기,래미안리더스원 상가,서울 서초구 서초동 1755-1,서초2동,2025-09-18
장애인용 승강기,래미안리더스원 어린이집,서울 서초구 서초동 1755,서초2동,2025-09-18
장애인용 승강기,래미안방배아트힐,서울 서초구 방배동 1008-2,방배3동,2025-09-18
장애인용 승강기,래미안서초4차아파트,서울 서초구 서초동 1473-2,서초3동,2025-09-18
장애인용 승강기,래미안서초6차아파트,서울 서초구 서초동 1520-9,서초3동,2025-09-18
장애인용 승강기,래미안서초7차아파트,서울 서초구 서초동 1642-34,서초1동,2025-09-18
장애인용 승강기,래미안서초스위트,서울 서초구 서초동 1301-6,서초4동,2025-09-18
장애인용 승강기,래미안서초에스티지,서울 서초구 서초동 1332-13,서초2동,2025-09-18
장애인용 승강기,래미안서초에스티지S,서울 서초구 서초동 1754,서초2동,2025-09-18
장애인용 승강기,래미안서초유니빌,서울 서초구 서초동 1445-4,서초1동,2025-09-18
장애인용 승강기,래미안신반포리오센트,서울 서초구 잠원동 161,잠원동,2025-09-18
장애인용 승강기,래미안신반포팰리스,서울 서초구 잠원동 158,잠원동,2025-09-18
장애인용 승강기,래미안퍼스티지,서울 서초구 반포동 18-1,반포2동,2025-09-18
장애인용 승강기,런던빌 양재,서울 서초구 양재동 402-2,양재2동,2025-09-18
장애인용 승강기,레디인빌딩,서울 서초구 방배동 792-4,방배본동,2025-09-18
장애인용 승강기,레미안서초5차아파트,서울 서초구 서초동 1522-1,서초3동,2025-09-18
장애인용 승강기,로고스빌딩,서울 서초구 방배동 902-2,방배1동,2025-09-18
장애인용 승강기,로얄파크아파트,서울 서초구 서초동 1527-13,서초3동,2025-09-18
장애인용 승강기,로이어즈타워,서울 서초구 서초동 1573-10,서초3동,2025-09-18
장애인용 승강기,로이움지젤,서울 서초구 서초동 1591-8,서초3동,2025-09-18
장애인용 승강기,로제빌,서울 서초구 방배동 920-2,방배1동,2025-09-18
장애인용 승강기,로펌애비뉴빌딩,서울 서초구 서초동 1695-5,서초4동,2025-09-18
장애인용 승강기,로펌타워,서울 서초구 서초동 1699-7,서초4동,2025-09-18
장애인용 승강기,롯데마트서초점,서울 서초구 서초동 1498-5,서초3동,2025-09-18
장애인용 승강기,롯데서초주택전시관,서울 서초구 서초동 1322,서초2동,2025-09-18
장애인용 승강기,롯데캐슬갤럭시1차아파트,서울 서초구 잠원동 50,잠원동,2025-09-18
장애인용 승강기,롯데캐슬갤럭시2차,서울 서초구 잠원동 50-1,잠원동,2025-09-18
장애인용 승강기,롯데캐슬리버티,서울 서초구 서초동 1620-20,서초1동,2025-09-18
장애인용 승강기,롯데캐슬스파(아파트),서울 서초구 서초동 1647-1,서초1동,2025-09-18
장애인용 승강기,롯데캐슬오스카,서울 서초구 방배동 1-21,방배본동,2025-09-18
장애인용 승강기,롯데캐슬주피터,서울 서초구 서초동 1359-50,서초2동,2025-09-18
장애인용 승강기,롯데캐슬클래식아파트,서울 서초구 서초동 1312-3,서초4동,2025-09-18
장애인용 승강기,루미에르신사,서울 서초구 잠원동 13-5,잠원동,2025-09-18
장애인용 승강기,르가든5차,서울 서초구 방배동 798-11,방배4동,2025-09-18
장애인용 승강기,르가든6차,서울 서초구 방배동 798-10,방배4동,2025-09-18
장애인용 승강기,르마크 반포,서울 서초구 반포동 577-75,반포4동,2025-09-18
장애인용 승강기,르피에드인강남,서울 서초구 서초동 1321-7,서초2동,2025-09-18
장애인용 승강기,리안하우스,서울 서초구 반포동 590-5,반포4동,2025-09-18
장애인용 승강기,리젠타워,서울 서초구 서초동 1303-31,서초4동,2025-09-18
장애인용 승강기,리체프라자,서울 서초구 반포동 30-25,반포1동,2025-09-18
장애인용 승강기,리첸빌,서울 서초구 양재동 366-5,양재2동,2025-09-18
장애인용 승강기,리치스아파트,서울 서초구 양재동 391-12,양재2동,2025-09-18
장애인용 승강기,릿157,서울 서초구 서초동 1331-2,서초2동,2025-09-18
장애인용 승강기,마더스성형외과,서울 서초구 방배동 1970,방배4동,2025-09-18
장애인용 승강기,마로니에아파트,서울 서초구 양재동 352-7,양재2동,2025-09-18
장애인용 승강기,마샹스2차,서울 서초구 서초동 1487-144,서초3동,2025-09-18
장애인용 승강기,마샹스아파트,서울 서초구 서초동 1466-3,서초3동,2025-09-18
장애인용 승강기,마이플레이스 양재,서울 서초구 양재동 385-8,양재2동,2025-09-18
장애인용 승강기,마제스타시티타워1,서울 서초구 서초동 1498-5,서초3동,2025-09-18
장애인용 승강기,마제스타시티타워2,서울 서초구 서초동 1498-5,서초3동,2025-09-18
장애인용 승강기,매크로매트릭스빌딩,서울 서초구 방배동 769-4,방배본동,2025-09-18
장애인용 승강기,매헌기념관,서울 서초구 양재동 236,양재2동,2025-09-18
장애인용 승강기,매헌초등학교,서울 서초구 양재동 311-1,양재2동,2025-09-18
장애인용 승강기,멀버리힐스,서울 서초구 잠원동 27-2,잠원동,2025-09-18
장애인용 승강기,메라크,서울 서초구 방배동 12-31,방배본동,2025-09-18
장애인용 승강기,메이플라워아파트,서울 서초구 잠원동 65-1,잠원동,2025-09-18
장애인용 승강기,멤버스뷰오피스텔,서울 서초구 방배동 477-1,방배3동,2025-09-18
장애인용 승강기,명광빌딩,서울 서초구 서초동 1702-10,서초3동,2025-09-18
장애인용 승강기,명달포레스트,서울 서초구 서초동 1507-20,서초3동,2025-09-18
장애인용 승강기,명성팰리스,서울 서초구 방배동 916-32,방배1동,2025-09-18
장애인용 승강기,모차르트빌딩,서울 서초구 서초동 1515-3,서초3동,2025-09-18
장애인용 승강기,목양침례교회,서울 서초구 내곡동 366,내곡동,2025-09-18
장애인용 승강기,미래소프트빌딩,서울 서초구 서초동 1428-3,서초1동,2025-09-18
장애인용 승강기,미영아파트101동,서울 서초구 양재동 6-29,양재1동,2025-09-18
장애인용 승강기,미영아파트102동,서울 서초구 양재동 6-29,양재1동,2025-09-18
장애인용 승강기,미주파스텔,서울 서초구 잠원동 54,잠원동,2025-09-18
장애인용 승강기,민예빌딩,서울 서초구 염곡동 216-1,내곡동,2025-09-18
장애인용 승강기,바우뫼복지문화회관,서울 서초구 우면동 68-1,양재1동,2025-09-18
장애인용 승강기,반도빌딩,서울 서초구 반포동 48-1,반포4동,2025-09-18
장애인용 승강기,반포 르엘 2차 아파트,서울 서초구 잠원동 164,반포3동,2025-09-18
